,Close,20-day MA,50-day MA,200-day MA
1999-11-01,77.62,,,
1999-11-02,80.25,,,
1999-11-03,81.5,,,
1999-11-04,83.62,,,
1999-11-05,88.31,,,
1999-11-08,96.37,,,
1999-11-09,89.62,,,
1999-11-10,91.44,,,
1999-11-11,92.25,,,
1999-11-12,90.62,,,
1999-11-15,89.44,,,
1999-11-16,91.19,,,
1999-11-17,90.25,,,
1999-11-18,89.62,,,
1999-11-19,92.44,,,
1999-11-22,90.62,,,
1999-11-23,92.81,,,
1999-11-24,94.69,,,
1999-11-26,95.06,,,
1999-11-29,94.56,89.614,,
1999-11-30,97.87,90.6265,,
1999-12-01,103.06,91.76700000000001,,
1999-12-02,110.19,93.20150000000001,,
1999-12-03,115.0,94.7705,,
1999-12-06,116.0,96.155,,
1999-12-07,117.81,97.227,,
1999-12-08,110.06,98.249,,
1999-12-09,105.25,98.9395,,
1999-12-10,103.0,99.477,,
1999-12-13,99.0,99.896,,
1999-12-14,94.87,100.1675,,
1999-12-15,97.0,100.458,,
1999-12-16,98.31,100.861,,
1999-12-17,100.0,101.38,,
1999-12-20,98.0,101.658,,
1999-12-21,102.5,102.252,,
1999-12-22,99.94,102.6085,,
1999-12-23,103.5,103.049,,
1999-12-27,99.31,103.2615,,
1999-12-28,98.19,103.44300000000001,,
1999-12-29,100.69,103.58399999999999,,
1999-12-30,100.31,103.44649999999999,,
1999-12-31,102.81,103.07750000000001,,
2000-01-03,111.94,102.9245,,
2000-01-04,102.5,102.2495,,
2000-01-05,104.0,101.559,,
2000-01-06,95.0,100.80600000000001,,
2000-01-07,99.5,100.5185,,
2000-01-10,97.75,100.256,,
2000-01-11,92.75,99.9435,97.3678,
2000-01-12,87.19,99.5595,97.5592,
2000-01-13,96.75,99.547,97.8892,
2000-01-14,100.44,99.6535,98.26800000000001,
2000-01-18,103.94,99.8505,98.6744,
2000-01-19,106.56,100.2785,99.0394,
2000-01-20,113.5,100.82849999999999,99.382,
2000-01-21,111.31,101.397,99.8158,
2000-01-24,106.25,101.53450000000001,100.11200000000001,
2000-01-25,112.25,102.1815,100.512,
2000-01-26,110.19,102.78150000000001,100.9034,
2000-01-27,110.0,103.247,101.31460000000001,
2000-01-28,101.62,103.3125,101.52320000000002,
2000-01-31,103.75,103.3595,101.7932,
2000-02-01,100.25,102.775,102.0058,
2000-02-02,98.81,102.59049999999999,102.1332,
2000-02-03,103.31,102.556,102.387,
2000-02-04,108.0,103.20599999999999,102.6908,
2000-02-07,114.06,103.934,103.0782,
2000-02-08,114.87,104.79,103.47439999999999,
2000-02-09,112.62,105.7835,103.83560000000001,
2000-02-10,113.5,107.099,104.14820000000002,
2000-02-11,108.75,107.699,104.262,
2000-02-14,115.81,108.4675,104.37440000000001,
2000-02-15,119.0,109.22049999999999,104.4544,
2000-02-16,114.12,109.59849999999999,104.41680000000001,
2000-02-17,114.87,109.66699999999999,104.35799999999999,
2000-02-18,111.25,109.66399999999999,104.38179999999998,
2000-02-22,113.81,110.042,104.553,
2000-02-23,116.25,110.242,104.818,
2000-02-24,115.2,110.49249999999999,105.142,
2000-02-25,110.37,110.511,105.45199999999998,
2000-02-28,113.25,111.0925,105.77699999999999,
2000-02-29,114.62,111.636,106.1032,
2000-03-01,130.31,113.13899999999998,106.7094,
2000-03-02,122.0,114.29850000000002,107.1894,
2000-03-03,128.0,115.53299999999999,107.69940000000001,
2000-03-06,125.69,116.41749999999999,108.21439999999998,
2000-03-07,122.87,116.85800000000002,108.6018,
2000-03-08,122.0,117.2145,109.05560000000001,
2000-03-09,122.25,117.696,109.5368,
2000-03-10,125.75,118.30850000000001,110.03800000000001,
2000-03-13,121.31,118.9365,110.458,
2000-03-14,114.25,118.8585,110.6868,
2000-03-15,116.25,118.721,110.773,
2000-03-16,121.56,119.093,111.1542,
2000-03-17,125.0,119.5995,111.5742,
2000-03-20,123.0,120.18700000000001,112.1342,
2000-03-21,134.94,121.24350000000001,112.84299999999999,
2000-03-22,144.19,122.6405,113.7718,
2000-03-23,141.31,123.946,114.743,
2000-03-24,138.69,125.36200000000001,115.77300000000001,
2000-03-27,139.56,126.67750000000001,116.6292,
2000-03-28,139.13,127.90300000000002,117.40299999999999,
2000-03-29,135.94,128.18449999999999,118.04299999999999,
2000-03-30,125.75,128.37199999999999,118.42679999999999,
2000-03-31,135.81,128.7625,118.87299999999999,
2000-04-03,133.31,129.14350000000002,119.31300000000002,
2000-04-04,127.31,129.3655,119.7342,
2000-04-05,130.38,129.78449999999998,120.0968,
2000-04-06,125.19,129.93149999999997,120.39679999999998,
2000-04-07,131.75,130.23149999999998,120.83179999999999,
2000-04-10,125.0,130.416,121.29939999999999,
2000-04-11,119.44,130.6755,121.61319999999999,
2000-04-12,109.25,130.32549999999998,121.7932,
2000-04-13,113.81,129.938,122.0932,
2000-04-14,111.87,129.2815,122.26440000000001,
2000-04-17,123.87,129.325,122.5818,
2000-04-18,126.87,128.92149999999998,122.83800000000001,
2000-04-19,121.12,127.76799999999999,122.96300000000001,
2000-04-20,118.87,126.646,123.088,
2000-04-24,120.5,125.7365,123.228,
2000-04-25,128.31,125.174,123.6192,
2000-04-26,121.31,124.28300000000002,123.7292,
2000-04-27,126.75,123.82350000000001,123.8842,
2000-04-28,124.06,123.739,124.08300000000001,
2000-05-01,124.31,123.16400000000002,124.2718,
2000-05-02,117.87,122.39199999999998,124.4042,
2000-05-03,115.06,121.77950000000001,124.4292,
2000-05-04,110.69,120.79499999999999,124.318,
2000-05-05,113.12,120.19150000000002,124.27640000000001,
2000-05-08,110.12,119.11000000000001,124.27140000000001,
2000-05-09,105.44,118.13200000000002,124.1152,
2000-05-10,99.31,117.12550000000002,123.80900000000001,
2000-05-11,102.81,116.80350000000001,123.259,
2000-05-12,107.62,116.494,122.97139999999999,
2000-05-15,101.0,115.95049999999999,122.4314,
2000-05-16,105.69,115.0415,122.03140000000002,
2000-05-17,101.37,113.7665,121.6014,
2000-05-18,100.75,112.748,121.1764,
2000-05-19,94.0,111.50449999999998,120.61139999999999,
2000-05-22,89.94,109.97649999999999,119.89519999999999,
2000-05-23,85.81,107.85149999999999,119.18520000000001,
2000-05-24,87.69,106.17049999999999,118.654,
2000-05-25,87.27,104.19649999999999,118.07440000000001,
2000-05-26,86.37,102.312,117.3706,
2000-05-30,87.56,100.4745,116.62180000000001,
2000-05-31,84.0,98.78099999999999,115.8418,
