,Close,20-day MA,50-day MA,200-day MA
1999-11-01,76.25,,,
1999-11-02,77.0,,,
1999-11-03,75.25,,,
1999-11-04,76.0,,,
1999-11-05,78.0,,,
1999-11-08,79.13,,,
1999-11-09,80.0,,,
1999-11-10,77.19,,,
1999-11-11,78.81,,,
1999-11-12,80.44,,,
1999-11-15,78.75,,,
1999-11-16,80.38,,,
1999-11-17,79.94,,,
1999-11-18,83.0,,,
1999-11-19,82.25,,,
1999-11-22,81.5,,,
1999-11-23,80.69,,,
1999-11-24,79.5,,,
1999-11-26,80.5,,,
1999-11-29,80.0,79.229,,
1999-11-30,79.19,79.376,,
1999-12-01,81.31,79.5915,,
1999-12-02,81.27,79.8925,,
1999-12-03,84.25,80.30499999999999,,
1999-12-06,83.35,80.5725,,
1999-12-07,83.25,80.77850000000001,,
1999-12-08,84.29,80.99300000000001,,
1999-12-09,87.25,81.49600000000001,,
1999-12-10,89.0,82.00550000000001,,
1999-12-13,91.11,82.539,,
1999-12-14,92.5,83.2265,,
1999-12-15,93.5,83.8825,,
1999-12-16,96.69,84.72,,
1999-12-17,98.75,85.50750000000001,,
1999-12-20,98.47,86.3185,,
1999-12-21,95.8,87.03349999999999,,
1999-12-22,96.31,87.8145,,
1999-12-23,97.13,88.696,,
1999-12-27,97.81,89.5615,,
1999-12-28,99.63,90.543,,
1999-12-29,100.9,91.6285,,
1999-12-30,100.2,92.57300000000001,,
1999-12-31,68.75,91.947,,
2000-01-03,65.19,90.994,,
2000-01-04,58.5,89.7515,,
2000-01-05,61.75,88.6765,,
2000-01-06,60.0,87.462,,
2000-01-07,63.5,86.2745,,
2000-01-10,63.19,84.98400000000001,,
2000-01-11,61.56,83.5065,81.97959999999999,
2000-01-12,61.06,81.9345,81.6758,
2000-01-13,62.13,80.36600000000001,81.3784,
2000-01-14,61.94,78.6285,81.1122,
2000-01-18,60.5,76.716,80.8022,
2000-01-19,61.88,74.8865,80.4798,
2000-01-20,60.81,73.137,80.1134,
2000-01-21,60.0,71.3215,79.71340000000001,
2000-01-24,58.0,69.365,79.3296,
2000-01-25,56.13,67.281,78.87599999999999,
2000-01-26,57.38,65.1685,78.4148,
2000-01-27,58.25,63.036,78.00479999999999,
2000-01-28,55.63,60.807500000000005,77.5098,
2000-01-31,56.63,60.201499999999996,77.04360000000001,
2000-02-01,62.0,60.041999999999994,76.62360000000001,
2000-02-02,60.75,60.1545,76.1936,
2000-02-03,60.5,60.092,75.7736,
2000-02-04,61.12,60.148,75.3822,
2000-02-07,59.0,59.923,74.9722,
2000-02-08,61.0,59.8135,74.5822,
2000-02-09,58.75,59.673,74.1572,
2000-02-10,59.56,59.598,73.7646,
2000-02-11,60.06,59.494499999999995,73.3396,
2000-02-14,60.31,59.413,72.9204,
2000-02-15,59.75,59.3755,72.4304,
2000-02-16,57.25,59.14399999999999,71.9084,
2000-02-17,54.5,58.8285,71.3334,
2000-02-18,53.75,58.516,70.7226,
