,Close,20-day MA,50-day MA,200-day MA
1999-11-01,76.0,,,
1999-11-02,77.5,,,
1999-11-03,79.75,,,
1999-11-04,81.56,,,
1999-11-05,82.38,,,
1999-11-08,82.13,,,
1999-11-09,80.06,,,
1999-11-10,79.0,,,
1999-11-11,79.44,,,
1999-11-12,76.19,,,
1999-11-15,74.06,,,
1999-11-16,76.56,,,
1999-11-17,74.75,,,
1999-11-18,78.5,,,
1999-11-19,79.88,,,
1999-11-22,80.5,,,
1999-11-23,79.0,,,
1999-11-24,82.19,,,
1999-11-26,80.25,,,
1999-11-29,78.94,78.93199999999999,,
1999-11-30,76.69,78.9665,,
1999-12-01,76.31,78.907,,
1999-12-02,77.56,78.7975,,
1999-12-03,78.69,78.654,,
1999-12-06,77.88,78.429,,
1999-12-07,77.19,78.182,,
1999-12-08,74.5,77.904,,
1999-12-09,73.25,77.6165,,
1999-12-10,72.25,77.257,,
1999-12-13,74.81,77.188,,
1999-12-14,72.44,77.107,,
1999-12-15,78.94,77.226,,
1999-12-16,80.25,77.501,,
1999-12-17,82.06,77.679,,
1999-12-20,81.06,77.738,,
1999-12-21,82.88,77.857,,
1999-12-22,82.5,78.032,,
1999-12-23,83.13,78.079,,
1999-12-27,85.06,78.31949999999999,,
1999-12-28,83.0,78.5225,,
1999-12-29,83.88,78.882,,
1999-12-30,83.69,79.251,,
1999-12-31,82.31,79.4885,,
2000-01-03,87.0,79.904,,
2000-01-04,82.94,80.157,,
2000-01-05,84.63,80.529,,
2000-01-06,78.75,80.7415,,
2000-01-07,82.0,81.179,,
2000-01-10,85.75,81.854,,
2000-01-11,89.69,82.598,79.7946,
2000-01-12,91.25,83.5385,80.0996,
2000-01-13,91.06,84.1445,80.3708,
2000-01-14,103.1,85.28699999999999,80.8378,
2000-01-18,102.1,86.289,81.2486,
2000-01-19,100.1,87.241,81.60300000000001,
2000-01-20,95.63,87.8785,81.87299999999999,
2000-01-21,97.94,88.6505,82.2306,
2000-01-24,98.81,89.4345,82.6268,
2000-01-25,101.6,90.2615,83.07,
2000-01-26,96.5,90.9365,83.4762,
2000-01-27,98.13,91.649,83.9576,
2000-01-28,94.0,92.1645,84.30640000000001,
2000-01-31,98.94,92.996,84.7902,
2000-02-01,101.4,93.716,85.2482,
2000-02-02,100.06,94.572,85.65180000000001,
2000-02-03,104.2,95.5505,86.1258,
2000-02-04,104.8,96.853,86.6418,
2000-02-07,107.9,98.148,87.15599999999999,
2000-02-08,108.8,99.3005,87.72699999999999,
2000-02-09,104.6,100.04599999999999,88.2402,
2000-02-10,107.6,100.8635,88.85839999999999,
2000-02-11,105.9,101.60549999999999,89.45020000000001,
2000-02-14,109.9,101.94550000000001,90.097,
2000-02-15,112.0,102.4405,90.7632,
2000-02-16,107.2,102.79549999999999,91.3496,
2000-02-17,110.0,103.51399999999998,92.0058,
2000-02-18,105.4,103.88700000000001,92.62380000000002,
2000-02-22,106.8,104.2865,93.29480000000001,
2000-02-23,109.1,104.6615,94.0318,
2000-02-24,114.3,105.5515,94.8216,
2000-02-25,113.3,106.30999999999999,95.6388,
2000-02-28,112.4,107.22999999999999,96.30799999999999,
2000-02-29,113.0,107.93299999999999,96.963,
2000-03-01,115.9,108.65799999999999,97.63980000000001,
2000-03-02,115.8,109.44500000000001,98.3346,
2000-03-03,119.3,110.2,99.06299999999999,
2000-03-06,117.4,110.83,99.76100000000001,
2000-03-07,115.8,111.225,100.41439999999999,
2000-03-08,114.9,111.53000000000002,101.0112,
2000-03-09,118.4,112.21999999999998,101.7192,
2000-03-10,120.2,112.85,102.4456,
2000-03-13,122.1,113.66,103.21379999999999,
2000-03-14,117.9,114.06000000000002,103.92559999999999,
2000-03-15,120.2,114.47,104.5896,
2000-03-16,125.1,115.36500000000001,105.43279999999999,
2000-03-17,129.9,116.35999999999999,106.33820000000001,
2000-03-20,135.0,117.83999999999999,107.4632,
2000-03-21,138.4,119.42,108.59119999999999,
2000-03-22,144.1,121.17,109.7582,
2000-03-23,142.6,122.585,110.81639999999999,
2000-03-24,139.06,123.873,111.7726,
2000-03-27,142.7,125.388,112.80539999999999,
2000-03-28,135.7,126.523,113.45739999999999,
2000-03-29,131.9,127.32300000000001,114.0534,
2000-03-30,127.0,127.883,114.59140000000001,
2000-03-31,131.9,128.513,115.3168,
2000-04-03,130.6,129.173,115.97,
2000-04-04,132.8,130.023,116.6498,
2000-04-05,129.9,130.773,117.2158,
2000-04-06,129.8,131.34300000000002,117.8818,
2000-04-07,136.8,132.173,118.65519999999998,
2000-04-10,131.1,132.623,119.3972,
2000-04-11,130.8,133.268,120.0344,
2000-04-12,121.9,133.353,120.4444,
2000-04-13,121.1,133.153,120.8652,
2000-04-14,110.5,132.18300000000002,120.9912,
2000-04-17,123.0,131.58300000000003,121.35520000000001,
2000-04-18,129.0,131.113,121.77720000000001,
2000-04-19,119.1,129.863,121.9832,
2000-04-20,115.4,128.503,122.1992,
2000-04-24,116.1,127.35499999999999,122.3692,
2000-04-25,125.0,126.47,122.75119999999998,
2000-04-26,120.8,125.725,122.9692,
2000-04-27,125.3,125.39500000000001,123.2352,
2000-04-28,126.8,125.38500000000002,123.62720000000002,
2000-05-01,127.1,125.14500000000001,123.9692,
2000-05-02,121.2,124.675,124.2852,
2000-05-03,119.1,123.98999999999998,124.53119999999998,
2000-05-04,119.6,123.475,124.7412,
2000-05-05,123.4,123.155,124.9232,
2000-05-08,117.6,122.19500000000001,125.0092,
2000-05-09,116.9,121.48499999999999,125.0992,
2000-05-10,106.1,120.25,124.9612,
2000-05-11,115.6,119.93500000000002,124.95519999999999,
2000-05-12,115.0,119.63,124.9392,
2000-05-15,118.1,120.00999999999999,124.9152,
2000-05-16,121.9,119.955,125.00519999999999,
2000-05-17,123.2,119.66499999999999,125.15320000000001,
2000-05-18,123.9,119.905,125.33319999999999,
2000-05-19,117.9,120.03,125.3232,
2000-05-22,118.4,120.14500000000001,125.28720000000001,
2000-05-23,109.9,119.38999999999999,125.0432,
2000-05-24,117.4,119.22,125.03320000000002,
2000-05-25,115.2,118.715,124.9332,
2000-05-26,117.6,118.255,124.7832,
2000-05-30,125.8,118.18999999999998,124.70119999999999,
2000-05-31,125.6,118.41000000000001,124.5132,
2000-06-01,129.7,118.94000000000001,124.3392,
2000-06-02,134.2,119.66999999999999,124.14119999999998,
2000-06-05,132.6,120.13000000000002,123.94120000000001,
2000-06-06,129.6,120.72999999999999,123.752,
2000-06-07,128.9,121.33000000000001,123.476,
2000-06-08,126.2,122.335,123.286,
2000-06-09,127.1,122.91,123.19,
2000-06-12,125.1,123.41499999999999,123.15199999999999,
2000-06-13,131.5,124.085,123.14399999999999,
2000-06-14,126.4,124.30999999999999,123.06,
2000-06-15,128.3,124.56500000000001,122.97,
2000-06-16,126.1,124.675,122.89399999999999,
2000-06-19,136.5,125.60499999999999,123.02799999999999,
2000-06-20,138.3,126.6,123.058,
2000-06-21,139.0,128.055,123.21600000000001,
2000-06-22,134.1,128.89000000000001,123.28199999999998,
2000-06-23,134.4,129.85,123.53200000000001,
2000-06-26,134.2,130.68,123.794,
2000-06-27,131.4,130.96,124.21199999999999,
2000-06-28,132.4,131.3,124.4,
2000-06-29,131.8,131.405,124.456,
2000-06-30,133.7,131.38000000000002,124.748,
2000-07-03,136.9,131.59499999999997,125.178,
2000-07-05,131.6,131.695,125.48800000000001,
2000-07-06,136.6,132.07999999999998,125.72,
2000-07-07,139.3,132.73499999999999,126.09,
2000-07-10,137.8,133.27,126.34,
2000-07-11,138.8,133.955,126.58,
2000-07-12,141.2,134.44,126.86200000000001,
2000-07-13,143.2,135.28,127.30199999999999,
2000-07-14,146.7,136.2,127.854,
2000-07-17,146.3,137.20999999999998,128.388,
2000-07-18,143.0,137.535,128.78,
2000-07-19,138.1,137.525,129.19,
2000-07-20,142.7,137.70999999999998,129.70600000000002,
2000-07-21,138.2,137.915,130.34799999999998,
2000-07-24,138.0,138.09499999999997,130.796,
2000-07-25,140.9,138.43,131.31400000000002,
2000-07-26,139.0,138.81,131.732,
2000-07-27,137.0,139.04,132.03400000000002,
2000-07-28,129.1,138.905,132.152,
2000-07-31,66.75,135.55749999999998,131.009,
2000-08-01,64.63,131.94400000000002,129.9436,
2000-08-02,63.31,128.52949999999998,128.8418,
2000-08-03,65.06,124.95249999999999,127.945,
2000-08-04,62.56,121.11550000000003,126.84819999999999,
2000-08-07,62.94,117.37249999999999,125.803,
2000-08-08,61.63,113.51399999999998,124.68360000000001,
2000-08-09,63.56,109.63199999999999,123.43880000000001,
2000-08-10,62.0,105.572,122.16680000000001,
2000-08-11,63.81,101.4275,120.84899999999999,
2000-08-14,66.94,97.4595,119.50380000000001,
2000-08-15,67.88,93.70349999999999,118.20939999999999,108.19040000000001
2000-08-16,68.69,90.233,116.9912,108.15385
2000-08-17,70.06,86.601,115.81439999999999,108.11665
2000-08-18,70.56,83.219,114.7016,108.0707
2000-08-21,72.06,79.922,113.60079999999999,108.0232
2000-08-22,72.13,76.4835,112.5414,107.97194999999999
