,Close,20-day MA,50-day MA,200-day MA
2002-05-23,16.75,,,
2002-05-24,16.94,,,
2002-05-28,16.2,,,
2002-05-29,15.45,,,
2002-05-30,15.0,,,
2002-05-31,15.07,,,
2002-06-03,15.8,,,
2002-06-04,15.65,,,
2002-06-05,16.06,,,
2002-06-06,16.55,,,
2002-06-07,15.66,,,
2002-06-10,16.19,,,
2002-06-11,16.15,,,
2002-06-12,15.3,,,
2002-06-13,15.16,,,
2002-06-14,13.81,,,
2002-06-17,12.91,,,
2002-06-18,12.75,,,
2002-06-19,13.32,,,
2002-06-20,13.4,15.206,,
2002-06-21,13.71,15.053999999999998,,
2002-06-24,13.7,14.892000000000001,,
2002-06-25,13.5,14.757000000000001,,
2002-06-26,13.84,14.6765,,
2002-06-27,13.21,14.587,,
2002-06-28,13.99,14.532999999999998,,
2002-07-01,14.39,14.4625,,
2002-07-02,16.42,14.501,,
2002-07-03,17.0,14.547999999999998,,
2002-07-05,17.87,14.613999999999999,,
2002-07-08,16.46,14.654000000000002,,
2002-07-09,16.25,14.657000000000002,,
2002-07-10,16.29,14.663999999999998,,
2002-07-11,17.77,14.7875,,
2002-07-12,16.91,14.875,,
2002-07-15,16.0,14.9845,,
2002-07-16,15.77,15.127500000000001,,
2002-07-17,15.25,15.252500000000001,,
2002-07-18,16.09,15.391,,
2002-07-19,16.24,15.533000000000001,,
2002-07-22,16.39,15.667000000000002,,
2002-07-23,16.05,15.7845,,
2002-07-24,15.6,15.889499999999998,,
2002-07-25,14.51,15.922999999999998,,
2002-07-26,12.2,15.872500000000002,,
2002-07-29,12.27,15.7865,,
2002-07-30,12.8,15.707000000000003,,
2002-07-31,13.35,15.5535,,
2002-08-01,12.48,15.3275,,
2002-08-02,10.89,14.9785,15.0264,
2002-08-05,10.85,14.697999999999999,14.908399999999999,
2002-08-06,10.65,14.417999999999997,14.7826,
2002-08-07,11.11,14.159,14.680800000000001,
2002-08-08,11.15,13.827999999999998,14.5948,
2002-08-09,11.02,13.5335,14.5152,
2002-08-12,10.6,13.263499999999999,14.425800000000002,
2002-08-13,10.82,13.016,14.326199999999998,
2002-08-14,11.67,12.837,14.2466,
2002-08-15,12.36,12.6505,14.1726,
2002-08-16,12.78,12.477500000000001,14.0972,
2002-08-19,13.75,12.3455,14.059000000000001,
2002-08-20,13.25,12.2055,14.0002,
