,Close,20-day MA,50-day MA,200-day MA
1999-11-01,23.5,,,
1999-11-02,25.0,,,
1999-11-03,27.44,,,
1999-11-04,29.19,,,
1999-11-05,28.25,,,
1999-11-08,29.06,,,
1999-11-09,28.63,,,
1999-11-10,28.38,,,
1999-11-11,30.38,,,
1999-11-12,32.0,,,
1999-11-15,31.38,,,
1999-11-16,34.38,,,
1999-11-17,35.69,,,
1999-11-18,35.81,,,
1999-11-19,42.88,,,
1999-11-22,42.81,,,
1999-11-23,39.75,,,
1999-11-24,38.5,,,
1999-11-26,38.25,,,
1999-11-29,36.88,32.908,,
1999-11-30,34.63,33.4645,,
1999-12-01,36.38,34.033500000000004,,
1999-12-02,39.06,34.6145,,
1999-12-03,38.13,35.0615,,
1999-12-06,39.19,35.60850000000001,,
1999-12-07,37.88,36.0495,,
1999-12-08,39.56,36.596,,
1999-12-09,38.38,37.096,,
1999-12-10,37.94,37.474000000000004,,
1999-12-13,37.81,37.7645,,
1999-12-14,37.19,38.055,,
1999-12-15,36.0,38.136,,
1999-12-16,35.75,38.139,,
1999-12-17,37.63,38.230000000000004,,
1999-12-20,40.75,38.1235,,
1999-12-21,42.5,38.108000000000004,,
1999-12-22,43.5,38.295500000000004,,
1999-12-23,46.38,38.6895,,
1999-12-27,44.63,39.008500000000005,,
1999-12-28,44.5,39.389500000000005,,
1999-12-29,46.0,39.958000000000006,,
1999-12-30,46.38,40.458,,
1999-12-31,46.94,40.852,,
2000-01-03,46.81,41.286,,
2000-01-04,45.56,41.604499999999994,,
2000-01-05,44.19,41.92,,
2000-01-06,41.19,42.0015,,
2000-01-07,41.88,42.1765,,
2000-01-10,43.25,42.44199999999999,,
2000-01-11,41.5,42.6265,37.793,
2000-01-12,40.44,42.789,38.131800000000005,
2000-01-13,42.13,43.0955,38.4744,
2000-01-14,43.94,43.505,38.8044,
2000-01-18,45.81,43.914,39.1368,
2000-01-19,45.38,44.1455,39.4794,
2000-01-20,45.25,44.283,39.803200000000004,
2000-01-21,44.75,44.3455,40.125600000000006,
2000-01-24,42.75,44.164,40.413000000000004,
2000-01-25,42.38,44.0515,40.653,
2000-01-26,40.63,43.858,40.8256,
2000-01-27,38.5,43.483,40.968,
2000-01-28,37.38,43.033,41.028,
2000-01-31,37.06,42.539,41.0554,
2000-02-01,37.94,42.0955,41.098,
2000-02-02,39.0,41.7675,41.0204,
2000-02-03,39.63,41.5395,40.9568,
2000-02-04,40.56,41.508,40.973,
2000-02-07,38.06,41.31699999999999,40.9642,
2000-02-08,39.88,41.1485,40.9968,
2000-02-09,40.88,41.11750000000001,41.076800000000006,
2000-02-10,49.25,41.55800000000001,41.3692,
2000-02-11,50.0,41.951499999999996,41.6416,
2000-02-14,58.0,42.6545,42.0204,
2000-02-15,55.75,43.1515,42.3728,
2000-02-16,58.31,43.798,42.755199999999995,
2000-02-17,60.38,44.554500000000004,43.205200000000005,
2000-02-18,67.38,45.686,43.7616,
2000-02-22,65.5,46.8235,44.304,
2000-02-23,65.88,47.9985,44.86280000000001,
2000-02-24,65.25,49.2295,45.4116,
2000-02-25,61.19,50.364,45.8916,
2000-02-28,60.75,51.532500000000006,46.3866,
2000-02-29,64.0,52.87949999999999,46.9516,
2000-03-01,62.13,54.089,47.4416,
2000-03-02,57.94,55.036,47.7854,
2000-03-03,58.88,55.9985,48.113,
2000-03-06,58.5,56.895500000000006,48.413000000000004,
2000-03-07,83.31,59.158,49.1516,
2000-03-08,84.0,61.364,49.93900000000001,
2000-03-09,100.3,64.33500000000001,51.055,
2000-03-10,118.0,67.77250000000001,52.495,
2000-03-13,149.3,72.7375,54.5534,
2000-03-14,110.1,75.3425,55.8166,
2000-03-15,105.6,77.83500000000001,56.992399999999996,
2000-03-16,94.17,79.628,57.9646,
2000-03-17,99.88,81.603,59.0784,
2000-03-20,99.81,83.22449999999999,60.2508,
2000-03-21,94.88,84.6935,61.3108,
2000-03-22,95.56,86.1775,62.357,
2000-03-23,97.25,87.7775,63.472,
2000-03-24,93.19,89.3775,64.527,
2000-03-27,87.06,90.693,65.42559999999999,
2000-03-28,80.56,91.52099999999999,66.158,
2000-03-29,75.25,92.17699999999999,66.7468,
2000-03-30,74.81,93.0205,67.33539999999999,
2000-03-31,84.48,94.3005,68.12,
2000-04-03,77.88,95.2695,68.7826,
2000-04-04,75.0,94.854,69.4276,
2000-04-05,91.69,95.2385,70.4138,
2000-04-06,95.94,95.0205,71.52,
2000-04-07,102.6,94.2505,72.80199999999999,
2000-04-10,93.5,91.4605,73.92439999999999,
2000-04-11,87.94,90.35249999999999,74.942,
2000-04-12,78.81,89.013,75.7594,
2000-04-13,75.44,88.0765,76.48819999999999,
2000-04-14,68.8,86.52250000000001,77.0716,
2000-04-17,72.31,85.14750000000001,77.70660000000001,
2000-04-18,85.13,84.66,78.648,
2000-04-19,81.06,83.935,79.4716,
2000-04-20,80.63,83.104,80.2666,
2000-04-24,76.63,82.276,80.8142,
2000-04-25,85.0,82.173,81.5142,
2000-04-26,84.13,82.3515,82.0368,
2000-04-27,91.0,83.139,82.7418,
2000-04-28,89.13,83.85499999999999,83.3582,
2000-05-01,92.0,84.231,83.9906,
2000-05-02,88.44,84.759,84.4118,
2000-05-03,87.0,85.35900000000001,84.8418,
2000-05-04,88.06,85.1775,85.2854,
2000-05-05,92.13,84.987,85.823,
2000-05-08,88.75,84.2945,86.3742,
2000-05-09,87.5,83.99449999999999,86.9092,
2000-05-10,78.88,83.5415,87.2068,
2000-05-11,82.25,83.7135,87.6092,
2000-05-12,79.75,83.929,88.04539999999999,
2000-05-15,85.25,84.7515,88.5728,
2000-05-16,94.0,85.836,89.28280000000001,
2000-05-17,110.5,87.1045,89.8266,
2000-05-18,103.0,88.2015,90.2066,
2000-05-19,102.1,89.275,90.2426,
2000-05-22,108.8,90.8835,90.05859999999998,
2000-05-23,107.9,92.0285,89.2306,
2000-05-24,106.5,93.147,89.1586,
2000-05-25,105.0,93.84700000000001,89.14659999999999,
2000-05-26,105.5,94.6655,89.3732,
2000-05-30,109.9,95.5605,89.57359999999998,
2000-05-31,112.8,96.7785,89.8334,
2000-06-01,117.3,98.2935,90.2818,
2000-06-02,131.6,100.47049999999999,91.00259999999999,
2000-06-05,134.4,102.58400000000002,91.7456,
2000-06-06,127.7,104.53150000000001,92.4358,
2000-06-07,122.0,106.2565,93.13459999999999,
