,Close,20-day MA,50-day MA,200-day MA
1999-11-01,108.0,,,
1999-11-02,106.0,,,
1999-11-03,106.8,,,
1999-11-04,105.3,,,
1999-11-05,105.9,,,
1999-11-08,108.6,,,
1999-11-09,107.5,,,
1999-11-10,107.4,,,
1999-11-11,106.4,,,
1999-11-12,107.0,,,
1999-11-15,106.6,,,
1999-11-16,107.4,,,
1999-11-17,109.0,,,
1999-11-18,109.6,,,
1999-11-19,110.5,,,
1999-11-22,110.8,,,
1999-11-23,112.0,,,
1999-11-24,112.4,,,
1999-11-26,113.0,,,
1999-11-29,111.5,108.585,,
1999-11-30,108.5,108.60999999999999,,
1999-12-01,112.3,108.925,,
1999-12-02,112.5,109.21,,
1999-12-03,113.8,109.63500000000002,,
1999-12-06,113.4,110.00999999999999,,
1999-12-07,109.9,110.075,,
1999-12-08,110.7,110.23500000000001,,
1999-12-09,109.9,110.35999999999999,,
1999-12-10,110.4,110.55999999999999,,
1999-12-13,110.3,110.725,,
1999-12-14,111.6,110.975,,
1999-12-15,112.6,111.23499999999999,,
1999-12-16,109.9,111.28,,
1999-12-17,106.25,111.1125,,
1999-12-20,107.6,110.9675,,
1999-12-21,104.5,110.65249999999999,,
1999-12-22,109.0,110.50249999999998,,
1999-12-23,109.5,110.3575,,
1999-12-27,111.2,110.26750000000001,,
1999-12-28,109.8,110.1825,,
1999-12-29,109.4,110.2275,,
1999-12-30,109.6,110.0925,,
1999-12-31,109.6,109.94749999999999,,
2000-01-03,107.2,109.61749999999999,,
2000-01-04,105.1,109.20250000000001,,
2000-01-05,104.2,108.91749999999999,,
2000-01-06,107.9,108.77749999999999,,
2000-01-07,116.5,109.1075,,
2000-01-10,115.9,109.38250000000001,,
2000-01-11,117.8,109.75750000000001,109.571,
2000-01-12,117.0,110.0275,109.751,
2000-01-13,115.0,110.14750000000001,109.931,
2000-01-14,117.0,110.50250000000001,110.135,
2000-01-18,116.9,111.035,110.36699999999999,
2000-01-19,115.4,111.425,110.557,
2000-01-20,112.6,111.83,110.63699999999999,
2000-01-21,102.7,111.51500000000001,110.54099999999998,
2000-01-24,96.0,110.84,110.31299999999999,
2000-01-25,97.5,110.155,110.135,
2000-01-26,100.6,109.69500000000001,110.007,
2000-01-27,104.1,109.42999999999999,109.95700000000001,
2000-01-28,100.3,108.965,109.815,
2000-01-31,101.1,108.54,109.65700000000001,
2000-02-01,99.5,108.155,109.455,
2000-02-02,98.63,107.8315,109.2176,
2000-02-03,97.81,107.51200000000001,108.95779999999999,
2000-02-04,94.75,106.8545,108.6128,
2000-02-07,93.25,105.69200000000001,108.2298,
2000-02-08,95.75,104.6845,107.8848,
2000-02-09,94.0,103.49449999999999,107.53479999999999,
2000-02-10,91.44,102.2165,107.1936,
2000-02-11,93.75,101.154,106.82260000000001,
2000-02-14,91.88,99.898,106.4102,
2000-02-15,95.75,98.84049999999999,106.0492,
2000-02-16,94.05,97.773,105.66220000000001,
2000-02-17,94.19,96.85249999999999,105.348,
2000-02-18,93.63,96.39899999999999,105.00659999999999,
2000-02-22,92.88,96.243,104.6662,
2000-02-23,90.63,95.89949999999999,104.2708,
2000-02-24,88.5,95.2945,103.83480000000002,
2000-02-25,85.13,94.346,103.30539999999999,
2000-02-28,88.38,93.74999999999999,102.82099999999998,
2000-02-29,87.88,93.089,102.3806,
2000-03-01,88.25,92.5265,102.0206,
2000-03-02,87.31,91.9605,101.6148,
2000-03-03,88.44,91.49199999999999,101.29359999999998,
2000-03-06,87.44,91.1265,100.8624,
2000-03-07,61.0,89.514,99.8924,
2000-03-08,58.0,87.6265,98.8284,
2000-03-09,57.75,85.814,97.78739999999999,
2000-03-10,53.75,83.9295,96.6744,
2000-03-13,57.25,82.1045,95.6274,
2000-03-14,55.75,80.298,94.55040000000001,
2000-03-15,58.5,78.4355,93.5764,
2000-03-16,59.88,76.727,92.67200000000001,
2000-03-17,57.63,74.899,91.7406,
2000-03-20,58.13,73.124,90.74519999999998,
2000-03-21,57.0,71.33,89.55519999999999,
2000-03-22,57.0,69.6485,88.37719999999999,
2000-03-23,56.19,68.033,87.145,
2000-03-24,56.44,66.5985,85.93379999999999,
2000-03-27,55.25,64.94200000000001,84.7388,
2000-03-28,57.0,63.398,83.5388,
2000-03-29,58.69,61.92,82.37460000000002,
2000-03-30,58.0,60.45450000000001,81.2266,
2000-03-31,56.75,58.870000000000005,80.1096,
2000-04-03,59.5,57.473,79.2456,
2000-04-04,63.44,57.59499999999999,78.5944,
2000-04-05,61.56,57.773,77.87559999999999,
2000-04-06,62.75,58.023,77.1186,
2000-04-07,63.44,58.50749999999999,76.3054,
2000-04-10,66.0,58.94499999999999,75.6194,
2000-04-11,66.44,59.479499999999994,74.9262,
2000-04-12,69.31,60.019999999999996,74.3224,
2000-04-13,69.5,60.501,73.7398,
2000-04-14,63.0,60.769499999999994,73.0436,
2000-04-17,69.0,61.313,72.5286,
2000-04-18,66.06,61.766000000000005,71.98479999999999,
2000-04-19,66.06,62.21900000000001,71.39099999999999,
2000-04-20,68.94,62.856500000000004,70.8898,
2000-04-24,70.5,63.5595,70.47099999999999,
2000-04-25,64.25,64.0095,69.881,
2000-04-26,60.75,64.197,69.2584,
2000-04-27,60.88,64.3065,68.561,
2000-04-28,59.75,64.39399999999999,67.875,
2000-05-01,59.7,64.5415,67.1852,
2000-05-02,59.81,64.55699999999999,66.50880000000001,
2000-05-03,60.63,64.41650000000001,65.8638,
