,Close,20-day MA,50-day MA,200-day MA
2010-06-29,23.89,,,
2010-06-30,23.83,,,
2010-07-01,21.96,,,
2010-07-02,19.2,,,
2010-07-06,16.11,,,
2010-07-07,15.8,,,
2010-07-08,17.46,,,
2010-07-09,17.4,,,
2010-07-12,17.05,,,
2010-07-13,18.14,,,
2010-07-14,19.84,,,
2010-07-15,19.89,,,
2010-07-16,20.64,,,
2010-07-19,21.91,,,
2010-07-20,20.3,,,
2010-07-21,20.22,,,
2010-07-22,21.0,,,
2010-07-23,21.29,,,
2010-07-26,20.95,,,
2010-07-27,20.55,19.8715,,
2010-07-28,20.72,19.713,,
2010-07-29,20.35,19.538999999999998,,
2010-07-30,19.94,19.438,,
2010-08-02,20.92,19.524,,
2010-08-03,21.95,19.816,,
2010-08-04,21.26,20.089,,
2010-08-05,20.45,20.2385,,
2010-08-06,19.59,20.348000000000003,,
2010-08-09,19.6,20.4755,,
2010-08-10,19.03,20.520000000000003,,
2010-08-11,17.9,20.423,,
2010-08-12,17.6,20.308500000000002,,
2010-08-13,18.32,20.192500000000003,,
2010-08-16,18.78,20.036,,
2010-08-17,19.15,19.9785,,
2010-08-18,18.77,19.906,,
2010-08-19,18.79,19.7955,,
2010-08-20,19.1,19.686,,
2010-08-23,20.13,19.645000000000003,,
2010-08-24,19.2,19.5775,,
2010-08-25,19.9,19.5365,,
2010-08-26,19.75,19.5065,,
2010-08-27,19.7,19.4945,,
2010-08-30,19.87,19.442,,
2010-08-31,19.48,19.3185,,
2010-09-01,20.45,19.278,,
2010-09-02,21.06,19.308500000000002,,
2010-09-03,21.05,19.3815,,
2010-09-07,20.54,19.428500000000003,,
2010-09-08,20.9,19.522,19.8336,
2010-09-09,20.71,19.6625,19.77,
2010-09-10,20.17,19.791,19.6968,
2010-09-13,20.72,19.911,19.672,
2010-09-14,21.12,20.028,19.7104,
2010-09-15,21.98,20.1695,19.8278,
2010-09-16,20.94,20.278,19.930600000000002,
2010-09-17,20.23,20.35,19.986,
2010-09-20,21.055,20.44775,20.0591,
2010-09-21,20.77,20.47975,20.133499999999998,
2010-09-22,19.87,20.51325,20.1681,
2010-09-23,19.56,20.49625,20.1625,
2010-09-24,20.1,20.51375,20.1667,
2010-09-27,20.53,20.55525,20.1645,
2010-09-28,21.4,20.63175,20.1543,
2010-09-29,21.98,20.75675,20.187900000000003,
2010-09-30,20.405,20.7545,20.1916,
2010-10-01,20.6,20.7315,20.183600000000002,
2010-10-04,20.99,20.7285,20.1776,
2010-10-05,21.12,20.7575,20.180999999999997,
2010-10-06,20.46,20.7355,20.1792,
2010-10-07,20.43,20.7215,20.1734,
2010-10-08,20.43,20.7345,20.175,
2010-10-11,20.24,20.710500000000003,20.180999999999997,
2010-10-12,20.24,20.666500000000003,20.1674,
2010-10-13,20.54,20.5945,20.139200000000002,
2010-10-14,20.75,20.585,20.128999999999998,
2010-10-15,20.54,20.6005,20.1308,
2010-10-18,20.23,20.55925,20.1436,
2010-10-19,20.05,20.52325,20.1526,
2010-10-20,20.65,20.56225,20.185,
2010-10-21,20.75,20.62175,20.242,
2010-10-22,20.72,20.652749999999997,20.3044,
2010-10-25,20.85,20.66875,20.355,
2010-10-26,21.36,20.66675,20.406599999999997,
2010-10-27,21.0,20.61775,20.4436,
2010-10-28,21.19,20.657,20.491999999999997,
2010-10-29,21.84,20.719,20.553,
2010-11-01,21.41,20.740000000000002,20.5992,
2010-11-02,21.25,20.7465,20.621599999999997,
2010-11-03,21.77,20.812,20.673000000000002,
2010-11-04,24.9,21.035500000000003,20.773000000000003,
2010-11-05,24.44,21.236,20.866799999999998,
2010-11-08,24.98,21.473,20.972399999999997,
2010-11-09,24.63,21.6925,21.067600000000002,
2010-11-10,29.36,22.1335,21.2652,
2010-11-11,28.035,22.497750000000003,21.416900000000002,
2010-11-12,29.84,22.96275,21.5925,
2010-11-15,30.8,23.49125,21.7875,
2010-11-16,29.67,23.97225,21.9701,
2010-11-17,29.49,24.41425,22.1419,
2010-11-18,29.89,24.87125,22.3255,
2010-11-19,30.99,25.384750000000004,22.541900000000002,
2010-11-22,33.4,26.01225,22.795499999999997,
2010-11-23,34.57,26.672749999999997,23.0645,
2010-11-24,35.47,27.39625,23.3343,
2010-11-26,35.32,28.102750000000004,23.6219,
2010-11-29,34.33,28.727249999999998,23.9039,
2010-11-30,35.33,29.423250000000003,24.1894,
2010-12-01,34.35,30.078250000000004,24.461,
2010-12-02,32.35,30.60725,24.7106,
2010-12-03,31.49,30.93675,24.9492,
2010-12-06,30.31,31.23025,25.153399999999998,
2010-12-07,31.56,31.559250000000002,25.374000000000002,
2010-12-08,32.37,31.94625,25.593400000000003,
2010-12-09,32.05,32.08075,25.7948,
2010-12-10,31.52,32.255,26.0171,
2010-12-13,30.55,32.290499999999994,26.216099999999997,
2010-12-14,28.53,32.17700000000001,26.3669,
2010-12-15,29.6,32.173500000000004,26.5365,
2010-12-16,30.81,32.2395,26.743499999999997,
2010-12-17,31.36,32.313,26.9621,
2010-12-20,31.7,32.348499999999994,27.187499999999996,
2010-12-21,32.26,32.2915,27.4279,
2010-12-22,32.63,32.194500000000005,27.675700000000003,
2010-12-23,30.09,31.9255,27.866699999999994,
2010-12-27,25.549,31.436949999999996,27.962679999999995,
2010-12-28,26.41,31.040950000000002,28.08008,
2010-12-29,27.73,30.660950000000003,28.230079999999997,
2010-12-30,26.5,30.26845,28.35908,
2010-12-31,26.63,29.98245,28.478680000000004,
2011-01-03,26.62,29.73895,28.59608,
2011-01-04,26.67,29.55695,28.715080000000004,
2011-01-05,26.83,29.32045,28.83468,
2011-01-06,27.88,29.09595,28.965080000000004,
2011-01-07,28.24,28.905450000000002,29.109880000000004,
2011-01-10,28.45,28.75195,29.25508,
2011-01-11,26.96,28.572450000000003,29.35748,
2011-01-12,26.96,28.493949999999995,29.46848,
2011-01-13,26.22,28.32495,29.56788,
2011-01-14,25.75,28.071949999999998,29.64748,
2011-01-18,25.64,27.785949999999996,29.662279999999996,
2011-01-19,24.03,27.402450000000005,29.654080000000004,
2011-01-20,22.62,26.92045,29.60688,
2011-01-21,23.04,26.440949999999997,29.57508,
2011-01-24,24.49,26.160949999999996,29.47768,
2011-01-25,24.68,26.1175,29.41058,
2011-01-26,24.75,26.0345,29.308780000000002,
2011-01-27,24.92,25.894,29.191180000000003,
2011-01-28,24.01,25.7695,29.077980000000004,
2011-01-31,24.1,25.643,28.97018,
2011-02-01,23.91,25.5075,28.85058,
2011-02-02,23.94,25.371000000000002,28.709579999999995,
2011-02-03,23.63,25.211000000000002,28.51418,
2011-02-04,23.46,24.990000000000002,28.291980000000002,
2011-02-07,23.07,24.7315,28.04398,
2011-02-08,24.49,24.5335,27.827379999999998,
2011-02-09,23.21,24.345999999999997,27.60498,
2011-02-10,23.215,24.15875,27.36268,
2011-02-11,23.25,24.010250000000003,27.140679999999996,
2011-02-14,23.08,23.87675,26.955280000000002,
2011-02-15,22.84,23.73675,26.78228,
2011-02-16,24.73,23.77175,26.67068,
2011-02-17,23.6,23.82075,26.511479999999995,
2011-02-18,23.18,23.82775,26.32768,
