,Close,20-day MA,50-day MA,200-day MA
2008-03-19,56.5,,,
2008-03-20,64.35,,,
2008-03-24,59.73,,,
2008-03-25,63.25,,,
2008-03-26,63.96,,,
2008-03-27,62.91,,,
2008-03-28,62.76,,,
2008-03-31,62.36,,,
2008-04-01,61.61,,,
2008-04-02,62.32,,,
2008-04-03,65.5,,,
2008-04-04,64.48,,,
2008-04-07,65.04,,,
2008-04-08,68.09,,,
2008-04-09,65.79,,,
2008-04-10,66.11,,,
2008-04-11,66.11,,,
2008-04-14,65.68,,,
2008-04-15,64.35,,,
2008-04-16,66.14,63.852,,
2008-04-17,67.04,64.37899999999999,,
2008-04-18,69.0,64.6115,,
2008-04-21,70.97,65.1735,,
2008-04-22,70.28,65.525,,
2008-04-23,70.08,65.831,,
2008-04-24,72.3,66.3005,,
2008-04-25,75.1,66.91749999999999,,
2008-04-28,75.63,67.581,,
2008-04-29,80.88,68.5445,,
2008-04-30,83.45,69.601,,
2008-05-01,85.4,70.596,,
2008-05-02,82.75,71.5095,,
2008-05-05,85.06,72.51050000000001,,
2008-05-06,87.53,73.4825,,
2008-05-07,88.5,74.618,,
2008-05-08,87.3,75.6775,,
2008-05-09,82.86,76.51500000000001,,
2008-05-12,81.9,77.326,,
2008-05-13,82.38,78.22749999999999,,
2008-05-14,82.23,79.03200000000001,,
2008-05-15,82.25,79.7925,,
2008-05-16,82.37,80.461,,
2008-05-19,83.32,81.0785,,
2008-05-20,82.74,81.7015,,
2008-05-21,80.85,82.24,,
2008-05-22,77.31,82.4905,,
2008-05-23,76.35,82.553,,
2008-05-27,78.74,82.70849999999999,,
2008-05-28,81.92,82.76050000000001,,
2008-05-29,85.25,82.8505,73.3756,
2008-05-30,86.36,82.89849999999998,73.97279999999999,
2008-06-02,86.07,83.0645,74.4072,
2008-06-03,87.56,83.1895,74.9638,
2008-06-04,85.48,83.087,75.4084,
2008-06-05,87.24,83.024,75.874,
2008-06-06,83.65,82.8415,76.2888,
2008-06-09,82.14,82.8055,76.6764,
2008-06-10,80.31,82.726,77.0354,
2008-06-11,77.74,82.494,77.358,
2008-06-12,79.56,82.3605,77.7028,
2008-06-13,81.53,82.3245,78.0234,
2008-06-16,83.27,82.3695,78.39920000000001,
2008-06-17,84.67,82.437,78.79180000000001,
2008-06-18,83.86,82.49300000000001,79.10719999999999,
2008-06-19,84.27,82.664,79.4768,
2008-06-20,83.57,82.977,79.826,
2008-06-23,81.06,83.2125,80.125,
2008-06-24,82.66,83.4085,80.46459999999999,
2008-06-25,82.06,83.4155,80.8188,
2008-06-26,79.1,83.108,81.078,
2008-06-27,82.6,82.92,81.3892,
2008-06-30,81.31,82.68199999999999,81.6354,
2008-07-01,81.41,82.3745,81.84419999999999,
2008-07-02,79.42,82.0715,82.027,
2008-07-03,78.07,81.613,82.1868,
2008-07-07,75.62,81.2115,82.25319999999999,
2008-07-08,79.06,81.0575,82.33239999999999,
2008-07-09,75.87,80.8355,82.3372,
2008-07-10,77.25,80.811,82.26459999999999,
2008-07-11,74.55,80.56049999999999,82.0866,
2008-07-14,72.58,80.113,81.83019999999999,
2008-07-15,68.42,79.37049999999999,81.5436,
2008-07-16,72.23,78.7485,81.28699999999999,
2008-07-17,75.06,78.3085,81.0376,
2008-07-18,73.4,77.765,80.73559999999999,
2008-07-21,71.9,77.1815,80.4276,
2008-07-22,74.05,76.831,80.25139999999999,
2008-07-23,73.25,76.3605,80.07839999999999,
