,Close,20-day MA,50-day MA,200-day MA
1999-11-01,74.75,,,
1999-11-02,74.12,,,
1999-11-03,73.0,,,
1999-11-04,73.0,,,
1999-11-05,70.62,,,
1999-11-08,74.31,,,
1999-11-09,75.31,,,
1999-11-10,76.0,,,
1999-11-11,76.81,,,
1999-11-12,77.87,,,
1999-11-15,78.0,,,
1999-11-16,79.19,,,
1999-11-17,80.25,,,
1999-11-18,81.06,,,
1999-11-19,79.69,,,
1999-11-22,79.55,,,
1999-11-23,78.0,,,
1999-11-24,79.12,,,
1999-11-26,78.0,,,
1999-11-29,79.37,76.901,,
1999-11-30,79.31,77.12899999999999,,
1999-12-01,82.5,77.548,,
1999-12-02,82.08,78.00200000000001,,
1999-12-03,82.53,78.4785,,
1999-12-06,83.88,79.1415,,
1999-12-07,83.88,79.62,,
1999-12-08,83.48,80.02850000000001,,
1999-12-09,86.13,80.535,,
1999-12-10,82.81,80.83500000000001,,
1999-12-13,82.66,81.0745,,
1999-12-14,82.38,81.29350000000001,,
1999-12-15,83.06,81.487,,
1999-12-16,83.75,81.662,,
1999-12-17,82.62,81.74,,
1999-12-20,81.92,81.8515,,
1999-12-21,80.75,81.9115,,
1999-12-22,81.0,82.0615,,
1999-12-23,83.81,82.29599999999999,,
1999-12-27,82.0,82.496,,
1999-12-28,80.69,82.562,,
1999-12-29,81.19,82.656,,
1999-12-30,80.44,82.55300000000001,,
1999-12-31,80.56,82.477,,
2000-01-03,78.31,82.26599999999999,,
2000-01-04,76.81,81.9125,,
2000-01-05,80.63,81.75,,
2000-01-06,85.19,81.8355,,
2000-01-07,84.94,81.776,,
2000-01-10,83.75,81.823,,
2000-01-11,84.75,81.9275,80.1166,
2000-01-12,83.5,81.98349999999999,80.2916,
2000-01-13,85.44,82.10249999999999,80.518,
2000-01-14,83.75,82.10249999999999,80.733,
2000-01-18,84.75,82.209,80.968,
2000-01-19,85.56,82.39099999999999,81.26679999999999,
2000-01-20,83.69,82.538,81.45439999999999,
2000-01-21,85.0,82.738,81.6482,
2000-01-24,84.25,82.76,81.8132,
2000-01-25,84.06,82.863,81.95819999999999,
2000-01-26,83.5,83.0035,82.0708,
2000-01-27,81.0,82.994,82.1308,
2000-01-28,78.88,82.916,82.12459999999999,
2000-01-31,82.88,83.032,82.1772,
2000-02-01,83.19,83.276,82.21979999999999,
2000-02-02,83.81,83.626,82.3022,
2000-02-03,82.38,83.7135,82.35879999999999,
2000-02-04,80.88,83.49799999999999,82.4164,
2000-02-07,80.75,83.2885,82.449,
2000-02-08,78.94,83.048,82.46780000000001,
2000-02-09,76.25,82.623,82.40540000000001,
2000-02-10,75.88,82.242,82.3368,
2000-02-11,73.88,81.664,82.1644,
2000-02-14,76.44,81.2985,82.0516,
2000-02-15,79.31,81.0265,81.98719999999999,
2000-02-16,80.0,80.7485,81.9096,
2000-02-17,77.88,80.458,81.78960000000001,
2000-02-18,75.0,79.958,81.62,
2000-02-22,75.44,79.5175,81.4062,
2000-02-23,74.63,79.046,81.2426,
2000-02-24,72.81,78.5115,81.0456,
2000-02-25,71.06,78.0145,80.8192,
2000-02-28,73.5,77.74549999999999,80.628,
2000-02-29,75.31,77.367,80.4592,
2000-03-01,76.06,77.01050000000001,80.32799999999999,
2000-03-02,77.0,76.67,80.22959999999999,
2000-03-03,75.69,76.3355,80.1284,
2000-03-06,72.94,75.9385,79.96719999999999,
2000-03-07,80.0,75.901,79.89099999999999,
2000-03-08,79.63,75.9355,79.8436,
2000-03-09,80.44,76.14500000000001,79.8386,
2000-03-10,77.03,76.2025,79.7554,
2000-03-13,75.88,76.3025,79.6642,
2000-03-14,77.25,76.34299999999999,79.598,
2000-03-15,77.75,76.265,79.5868,
2000-03-16,79.75,76.2525,79.6456,
2000-03-17,77.13,76.215,79.57560000000001,
2000-03-20,74.88,76.20899999999999,79.3694,
2000-03-21,77.0,76.287,79.2106,
2000-03-22,74.94,76.3025,79.0344,
2000-03-23,75.5,76.437,78.8494,
2000-03-24,77.25,76.7465,78.7244,
2000-03-27,76.51,76.897,78.5458,
2000-03-28,79.0,77.08149999999999,78.4508,
2000-03-29,80.5,77.3035,78.3658,
2000-03-30,78.63,77.385,78.2272,
2000-03-31,78.0,77.5005,78.1134,
2000-04-03,80.5,77.8785,78.0234,
2000-04-04,82.5,78.0035,77.9884,
2000-04-05,79.75,78.0095,77.90220000000001,
2000-04-06,81.75,78.075,77.8672,
2000-04-07,79.56,78.2015,77.83840000000001,
2000-04-10,78.25,78.32000000000001,77.8258,
2000-04-11,79.38,78.4265,77.7558,
2000-04-12,79.94,78.536,77.6908,
2000-04-13,80.0,78.5485,77.6146,
2000-04-14,78.75,78.6295,77.542,
2000-04-17,75.5,78.6605,77.43440000000001,
2000-04-18,76.19,78.62,77.3432,
2000-04-19,77.44,78.745,77.3132,
2000-04-20,79.0,78.92,77.3682,
2000-04-24,79.88,79.0515,77.4482,
2000-04-25,81.0,79.276,77.5906,
2000-04-26,80.13,79.33250000000001,77.6644,
2000-04-27,80.69,79.342,77.692,
2000-04-28,77.69,79.29499999999999,77.6458,
2000-05-01,78.0,79.29499999999999,77.6482,
2000-05-02,78.25,79.18249999999999,77.7132,
2000-05-03,77.5,78.93249999999999,77.7544,
2000-05-04,79.5,78.91999999999999,77.8518,
2000-05-05,80.0,78.8325,77.99560000000001,
2000-05-08,80.44,78.8765,78.1832,
2000-05-09,79.44,78.936,78.30199999999999,
2000-05-10,81.5,79.042,78.4258,
2000-05-11,82.94,79.192,78.5634,
2000-05-12,82.02,79.29299999999999,78.6638,
2000-05-15,83.63,79.537,78.82260000000001,
2000-05-16,83.25,79.9245,79.0288,
2000-05-17,81.38,80.184,79.0564,
2000-05-18,81.45,80.38449999999999,79.0928,
2000-05-19,81.75,80.52199999999999,79.119,
2000-05-22,83.31,80.6935,79.2446,
2000-05-23,83.0,80.7935,79.387,
2000-05-24,82.94,80.934,79.5008,
2000-05-25,81.44,80.9715,79.5746,
2000-05-26,82.38,81.20599999999999,79.6272,
2000-05-30,83.5,81.481,79.7546,
