,Close,20-day MA,50-day MA,200-day MA
1999-11-01,68.56,,,
1999-11-02,68.06,,,
1999-11-03,68.81,,,
1999-11-04,68.88,,,
1999-11-05,70.69,,,
1999-11-08,71.38,,,
1999-11-09,72.0,,,
1999-11-10,73.0,,,
1999-11-11,72.44,,,
1999-11-12,75.13,,,
1999-11-15,73.81,,,
1999-11-16,76.56,,,
1999-11-17,75.0,,,
1999-11-18,76.13,,,
1999-11-19,75.63,,,
1999-11-22,76.06,,,
1999-11-23,74.75,,,
1999-11-24,75.06,,,
1999-11-26,73.81,,,
1999-11-29,71.56,72.866,,
1999-11-30,68.69,72.8725,,
1999-12-01,66.56,72.79749999999999,,
1999-12-02,68.63,72.7885,,
1999-12-03,66.69,72.679,,
1999-12-06,63.13,72.301,,
1999-12-07,60.63,71.7635,,
1999-12-08,67.75,71.551,,
1999-12-09,65.5,71.176,,
1999-12-10,62.63,70.6855,,
1999-12-13,60.19,69.9385,,
1999-12-14,60.63,69.2795,,
1999-12-15,61.88,68.5455,,
1999-12-16,63.75,67.983,,
1999-12-17,67.5,67.5515,,
1999-12-20,65.25,67.0325,,
1999-12-21,63.38,66.3985,,
1999-12-22,66.88,66.005,,
1999-12-23,67.0,65.602,,
1999-12-27,64.75,65.149,,
1999-12-28,66.13,64.8775,,
1999-12-29,65.94,64.74,,
1999-12-30,66.0,64.712,,
1999-12-31,67.25,64.643,,
2000-01-03,65.56,64.5865,,
2000-01-04,60.06,64.433,,
2000-01-05,61.13,64.458,,
2000-01-06,61.75,64.15799999999999,,
2000-01-07,64.75,64.12049999999999,,
2000-01-10,67.25,64.3515,,
2000-01-11,62.63,64.4735,67.9438,
2000-01-12,62.31,64.5575,67.8188,
2000-01-13,65.63,64.74499999999999,67.7702,
2000-01-14,66.31,64.873,67.7202,
2000-01-18,64.0,64.69800000000001,67.6226,
2000-01-19,63.13,64.592,67.4714,
2000-01-20,63.81,64.6135,67.32,
2000-01-21,62.88,64.4135,67.13759999999999,
2000-01-24,60.56,64.0915,66.8888,
2000-01-25,63.0,64.00399999999999,66.7,
2000-01-26,61.19,63.757000000000005,66.4212,
2000-01-27,62.69,63.594500000000004,66.1988,
2000-01-28,57.56,63.1725,65.8188,
2000-01-31,55.06,62.563,65.42,
2000-02-01,55.88,62.07900000000001,65.015,
2000-02-02,61.31,62.14149999999999,64.7286,
2000-02-03,69.06,62.538,64.5886,
2000-02-04,74.0,63.1505,64.5736,
2000-02-07,77.06,63.766000000000005,64.6136,
2000-02-08,83.75,64.59100000000001,64.8124,
2000-02-09,87.56,65.8375,65.1324,
2000-02-10,91.25,67.28450000000001,65.5836,
2000-02-11,90.44,68.525,66.0612,
