,Close,20-day MA,50-day MA,200-day MA
1999-11-01,69.13,,,
1999-11-02,66.44,,,
1999-11-03,65.81,,,
1999-11-04,63.06,,,
1999-11-05,64.94,,,
1999-11-08,78.0,,,
1999-11-09,70.81,,,
1999-11-10,72.0,,,
1999-11-11,73.0,,,
1999-11-12,74.94,,,
1999-11-15,73.5,,,
1999-11-16,78.94,,,
1999-11-17,76.5,,,
1999-11-18,77.94,,,
1999-11-19,77.94,,,
1999-11-22,80.5,,,
1999-11-23,81.75,,,
1999-11-24,87.25,,,
1999-11-26,93.13,,,
1999-11-29,90.44,75.801,,
1999-11-30,85.06,76.5975,,
1999-12-01,85.0,77.5255,,
1999-12-02,89.06,78.68799999999999,,
1999-12-03,86.56,79.863,,
1999-12-06,87.38,80.985,,
1999-12-07,86.06,81.38799999999999,,
1999-12-08,88.0,82.24749999999999,,
1999-12-09,103.6,83.8275,,
1999-12-10,106.7,85.5125,,
1999-12-13,102.5,86.8905,,
1999-12-14,95.63,87.99699999999999,,
1999-12-15,96.5,88.875,,
1999-12-16,94.88,89.79400000000001,,
1999-12-17,94.06,90.6,,
1999-12-20,97.0,91.553,,
1999-12-21,99.88,92.52199999999999,,
1999-12-22,97.69,93.31899999999999,,
1999-12-23,90.0,93.45649999999999,,
1999-12-27,81.13,92.85650000000001,,
1999-12-28,82.31,92.45,,
1999-12-29,83.5,92.372,,
1999-12-30,79.06,92.075,,
1999-12-31,76.13,91.42850000000001,,
2000-01-03,89.38,91.56949999999999,,
2000-01-04,81.94,91.2975,,
2000-01-05,71.75,90.582,,
2000-01-06,65.56,89.46,,
2000-01-07,69.56,87.758,,
2000-01-10,69.19,85.8825,,
2000-01-11,66.75,84.095,82.3568,
2000-01-12,63.56,82.4915,82.24539999999999,
2000-01-13,65.94,80.9635,82.23539999999998,
2000-01-14,64.25,79.43199999999999,82.2042,
2000-01-18,64.13,77.9355,82.2256,
2000-01-19,66.81,76.426,82.26299999999999,
2000-01-20,64.75,74.6695,81.99799999999999,
2000-01-21,62.06,72.888,81.82300000000001,
2000-01-24,70.13,71.89450000000001,81.78559999999999,
