,Close,20-day MA,50-day MA,200-day MA
1999-11-01,2087.0,,,
1999-11-02,2141.0,,,
1999-11-03,2153.0,,,
1999-11-04,2163.0,,,
1999-11-05,2131.0,,,
1999-11-08,2088.0,,,
1999-11-09,2014.0,,,
1999-11-10,1985.0,,,
1999-11-11,1958.0,,,
1999-11-12,1968.0,,,
1999-11-15,1940.0,,,
1999-11-16,1901.0,,,
1999-11-17,1894.0,,,
1999-11-18,1917.0,,,
1999-11-19,1855.0,,,
1999-11-22,1909.0,,,
1999-11-23,1889.0,,,
1999-11-24,1895.0,,,
1999-11-26,1883.0,,,
1999-11-29,1874.0,1982.25,,
1999-11-30,1865.0,1971.15,,
1999-12-01,1860.0,1957.1,,
1999-12-02,1850.0,1941.95,,
1999-12-03,1840.0,1925.8,,
1999-12-06,1836.0,1911.05,,
1999-12-07,1811.0,1897.2,,
1999-12-08,1800.0,1886.5,,
1999-12-09,1785.0,1876.5,,
1999-12-10,1787.0,1867.95,,
1999-12-13,1785.0,1858.8,,
1999-12-14,1747.0,1849.15,,
1999-12-15,1756.0,1841.9,,
1999-12-16,1732.0,1833.8,,
1999-12-17,1755.0,1825.7,,
1999-12-20,1756.0,1820.75,,
1999-12-21,1726.0,1811.6,,
1999-12-22,1721.0,1803.2,,
1999-12-23,1717.0,1794.3,,
1999-12-27,1716.0,1785.95,,
1999-12-28,1712.0,1777.85,,
1999-12-29,1717.0,1770.45,,
1999-12-30,1710.0,1762.95,,
1999-12-31,1830.0,1761.95,,
2000-01-03,1765.0,1758.2,,
2000-01-04,1704.0,1751.6,,
2000-01-05,1732.0,1747.65,,
2000-01-06,1804.0,1747.85,,
2000-01-07,1820.0,1749.6,,
2000-01-10,1813.0,1750.9,,
2000-01-11,1779.0,1750.6,1857.52,
2000-01-12,1745.0,1750.5,1850.68,
2000-01-13,1760.0,1750.7,1843.06,
2000-01-14,1701.0,1749.15,1834.02,
2000-01-18,1700.0,1746.4,1824.76,
2000-01-19,1709.0,1744.05,1816.32,
2000-01-20,1700.0,1742.75,1808.56,
2000-01-21,1711.0,1742.25,1802.5,
2000-01-24,1700.0,1741.4,1796.8,
2000-01-25,1703.0,1740.75,1791.7,
2000-01-26,1707.0,1740.5,1786.48,
2000-01-27,1696.0,1739.45,1781.6,
2000-01-28,1660.0,1736.95,1776.78,
2000-01-31,1646.0,1727.75,1771.82,
2000-02-01,1675.0,1723.25,1766.98,
2000-02-02,1640.0,1720.05,1762.68,
2000-02-03,1670.0,1716.95,1757.9,
2000-02-04,1655.0,1709.5,1753.22,
2000-02-07,1664.0,1701.7,1748.6,
