,Close,20-day MA,50-day MA,200-day MA
2004-08-19,100.335,,,
2004-08-20,108.31,,,
2004-08-23,109.4,,,
2004-08-24,104.87,,,
2004-08-25,106.0,,,
2004-08-26,107.91,,,
2004-08-27,106.15,,,
2004-08-30,102.01,,,
2004-08-31,102.37,,,
2004-09-01,100.25,,,
2004-09-02,101.51,,,
2004-09-03,100.01,,,
2004-09-07,101.58,,,
2004-09-08,102.3,,,
2004-09-09,102.31,,,
2004-09-10,105.33,,,
2004-09-13,107.5,,,
2004-09-14,111.49,,,
2004-09-15,112.0,,,
2004-09-16,113.97,105.28025,,
2004-09-17,117.49,106.13799999999999,,
2004-09-20,119.36,106.6905,,
2004-09-21,117.84,107.1125,,
2004-09-22,118.38,107.78800000000001,,
2004-09-23,120.82,108.529,,
2004-09-24,119.83,109.125,,
2004-09-27,118.26,109.7305,,
2004-09-28,126.86,110.973,,
2004-09-29,131.08,112.4085,,
2004-09-30,129.6,113.876,,
2004-10-01,132.58,115.42949999999999,,
2004-10-04,135.06,117.18199999999999,,
2004-10-05,138.37,119.02150000000002,,
2004-10-06,137.08,120.76050000000001,,
2004-10-07,138.85,122.5875,,
2004-10-08,137.73,124.20750000000001,,
2004-10-11,135.26,125.59549999999999,,
2004-10-12,137.4,126.89099999999999,,
2004-10-13,140.9,128.33599999999998,,
2004-10-14,142.0,129.7375,,
2004-10-15,144.11,131.06850000000003,,
2004-10-18,149.16,132.5585,,
2004-10-19,147.94,134.0635,,
2004-10-20,140.49,135.169,,
2004-10-21,149.38,136.597,,
2004-10-22,172.43,139.22700000000003,,
2004-10-25,187.4,142.684,,
2004-10-26,181.8,145.43099999999998,,
2004-10-27,185.97,148.1755,,
2004-10-28,193.3,151.3605,127.0467,
2004-10-29,190.64,154.2635,128.8528,
2004-11-01,196.03,157.312,130.6072,
2004-11-02,194.87,160.137,132.3166,
2004-11-03,191.67,162.8665,134.0526,
2004-11-04,184.7,165.159,135.6266,
2004-11-05,169.35,166.74,136.8554,
2004-11-08,172.55,168.6045,138.1834,
2004-11-09,168.7,170.16950000000003,139.5172,
2004-11-10,167.86,171.51749999999998,140.827,
2004-11-11,183.02,173.5685,142.4824,
2004-11-12,182.0,175.463,144.09220000000002,
2004-11-15,184.87,177.2485,145.7894,
2004-11-16,172.545,178.47875,147.20870000000002,
2004-11-17,172.5,180.07925,148.61270000000002,
2004-11-18,167.54,180.98725,149.9173,
2004-11-19,169.4,180.83575,151.1987,
2004-11-22,165.1,179.72075,152.3507,
2004-11-23,167.52,179.00675,153.47129999999999,
2004-11-24,174.76,178.44625,154.7265,
2004-11-26,179.39,177.75074999999998,156.0349,
2004-11-29,181.05,177.27125,157.3061,
2004-11-30,181.98,176.56875,158.5585,
2004-12-01,179.96,175.82325,159.8009,
2004-12-02,179.4,175.20975,161.0213,
2004-12-03,180.4,174.99475,162.21290000000002,
2004-12-06,176.29,175.34175,163.34210000000002,
2004-12-07,171.43,175.28575,164.4055,
2004-12-08,169.98,175.34975,165.2679,
2004-12-09,173.43,175.62825,166.1149,
2004-12-10,171.65,175.05975,166.9559,
2004-12-13,170.45,174.48225,167.7133,
2004-12-14,178.69,174.17325,168.5859,
2004-12-15,179.78,174.53500000000003,169.4141,
2004-12-16,176.47,174.7335,170.2019,
2004-12-17,180.08,175.3605,171.02649999999997,
2004-12-20,185.02,176.1415,171.9723,
2004-12-21,183.75,177.07399999999998,172.94209999999998,
2004-12-22,186.3,178.01299999999998,173.92010000000002,
2004-12-23,187.9,178.67000000000002,174.86010000000002,
2004-12-27,191.91,179.296,175.8583,
2004-12-28,192.76,179.88150000000002,176.8313,
2004-12-29,192.9,180.4275,177.7061,
2004-12-30,197.6,181.3095,178.6993,
2004-12-31,192.79,181.97899999999998,179.7453,
2005-01-03,202.71,183.0945,180.81190000000004,
2005-01-04,194.5,184.00500000000002,181.25330000000002,
2005-01-05,193.51,185.10899999999998,181.37550000000002,
2005-01-06,188.55,186.0375,181.51049999999998,
2005-01-07,193.85,187.0585,181.6681,
2005-01-10,195.06,188.22899999999998,181.70329999999998,
2005-01-11,193.54,189.3835,181.7613,
2005-01-12,195.38,190.21800000000002,181.74830000000003,
2005-01-13,195.33,190.9955,181.7575,
2005-01-14,199.97,192.1705,181.9235,
2005-01-18,203.9,193.3615,182.3075,
2005-01-19,197.3,193.9755,182.8665,
2005-01-20,193.92,194.484,183.2939,
2005-01-21,188.28,194.583,183.68550000000002,
2005-01-24,180.72,194.224,183.9427,
2005-01-25,177.12,193.4845,183.8247,
2005-01-26,189.24,193.3085,183.9695,
2005-01-27,188.08,193.0675,184.03370000000004,
2005-01-28,190.34,192.7045,184.38960000000003,
2005-01-31,195.62,192.846,184.852,
2005-02-01,191.9,192.3055,185.33919999999998,
2005-02-02,205.96,192.87849999999997,186.0704,
2005-02-03,210.86,193.746,186.9856,
2005-02-04,204.36,194.5365,187.7224,
2005-02-07,196.03,194.64550000000003,188.1478,
2005-02-08,198.64,194.8245,188.53279999999998,
2005-02-09,191.58,194.72650000000002,188.7434,
2005-02-10,187.98,194.3565,188.8634,
2005-02-11,187.4,193.96,189.0122,
2005-02-14,192.99,193.611,189.28400000000002,
2005-02-15,195.23,193.1775,189.5806,
2005-02-16,198.41,193.233,190.023,
2005-02-17,197.9,193.432,190.55239999999998,
2005-02-18,197.95,193.9155,191.11180000000002,
2005-02-22,191.37,194.448,191.4706,
2005-02-23,193.95,195.2895,191.9166,
2005-02-24,188.89,195.272,192.28539999999998,
2005-02-25,185.87,195.1615,192.429,
2005-02-28,187.99,195.044,192.5932,
2005-03-01,186.06,194.56599999999997,192.785,
2005-03-02,185.18,194.23,192.887,
2005-03-03,187.005,193.28225000000003,192.9267,
2005-03-04,185.9,192.03425,192.96970000000002,
2005-03-07,188.81,191.25675,193.01989999999998,
2005-03-08,185.2,190.71525,192.9659,
2005-03-09,181.35,189.85075,192.7547,
2005-03-10,179.98,189.27075,192.4991,
2005-03-11,177.8,188.76175,192.19709999999998,
2005-03-14,174.99,188.14124999999999,191.74489999999997,
2005-03-15,178.61,187.42225000000002,191.46130000000002,
2005-03-16,175.6,186.44075,190.9191,
2005-03-17,179.29,185.48475,190.61489999999998,
2005-03-18,180.04,184.59175,190.3455,
2005-03-21,180.88,183.73825,190.19209999999998,
2005-03-22,178.6,183.09975,189.8871,
2005-03-23,178.98,182.35125,189.5655,
2005-03-24,179.25,181.86925,189.27969999999996,
2005-03-28,181.42,181.64675,189.0005,
2005-03-29,179.57,181.22575,188.68529999999998,
2005-03-30,180.45,180.94525000000002,188.2949,
2005-03-31,180.51,180.71175,187.8271,
2005-04-01,180.04,180.3635,187.4819,
2005-04-04,185.29,180.333,187.3093,
2005-04-05,188.57,180.32099999999997,187.31509999999997,
2005-04-06,189.22,180.522,187.4851,
2005-04-07,193.76,181.14249999999998,187.81789999999998,
2005-04-08,192.05,181.746,187.8741,
2005-04-11,193.23,182.51749999999998,187.97709999999998,
2005-04-12,193.955,183.46575,188.0494,
2005-04-13,192.93,184.18175,187.99560000000002,
2005-04-14,191.45,184.97425,187.9866,
2005-04-15,185.0,185.25975,187.5674,
2005-04-18,186.97,185.60625,187.0896,
2005-04-19,191.4,186.13225,186.8304,
2005-04-20,198.1,187.10725,186.8718,
2005-04-21,204.75,188.39575,186.99400000000003,
2005-04-22,215.81,190.22375,187.4786,
2005-04-25,223.53,192.32925,188.18960000000004,
2005-04-26,218.75,194.28825,188.8166,
2005-04-27,219.78,196.25475,189.3524,
2005-04-28,219.45,198.20175,189.8368,
2005-04-29,220.0,200.19975000000002,190.2686,
2005-05-02,222.29,202.04975,190.75639999999999,
2005-05-03,226.19,203.93075000000002,191.32119999999998,
2005-05-04,228.5,205.89475,192.06380000000001,
2005-05-05,226.98,207.55575,192.72439999999997,
2005-05-06,228.02,209.35425,193.507,
2005-05-09,226.02,210.99375,194.31,
2005-05-10,227.8,212.686,195.1062,
