,Close,20-day MA,50-day MA,200-day MA
1999-11-01,105.1,,,
1999-11-02,102.5,,,
1999-11-03,104.3,,,
1999-11-04,105.3,,,
1999-11-05,105.5,,,
1999-11-08,104.4,,,
1999-11-09,103.6,,,
1999-11-10,103.0,,,
1999-11-11,103.8,,,
1999-11-12,103.8,,,
1999-11-15,103.5,,,
1999-11-16,106.1,,,
1999-11-17,105.6,,,
1999-11-18,104.4,,,
1999-11-19,105.2,,,
1999-11-22,105.3,,,
1999-11-23,104.0,,,
1999-11-24,104.8,,,
1999-11-26,103.2,,,
1999-11-29,105.1,104.425,,
1999-11-30,103.8,104.36000000000001,,
1999-12-01,102.5,104.36000000000001,,
1999-12-02,100.1,104.15,,
1999-12-03,97.25,103.74749999999999,,
1999-12-06,96.81,103.31299999999999,,
1999-12-07,93.38,102.76200000000001,,
1999-12-08,91.21,102.1425,,
1999-12-09,93.25,101.655,,
1999-12-10,94.38,101.184,,
1999-12-13,93.18,100.65299999999999,,
1999-12-14,94.19,100.1875,,
1999-12-15,94.67,99.61600000000001,,
1999-12-16,94.63,99.0675,,
1999-12-17,94.88,98.5915,,
1999-12-20,91.98,97.93050000000001,,
1999-12-21,91.0,97.21549999999999,,
1999-12-22,91.56,96.59349999999999,,
1999-12-23,95.56,96.13149999999999,,
1999-12-27,97.75,95.859,,
1999-12-28,95.44,95.376,,
1999-12-29,92.44,94.808,,
1999-12-30,93.5,94.358,,
1999-12-31,93.25,94.0155,,
2000-01-03,92.19,93.7625,,
2000-01-04,88.81,93.3625,,
2000-01-05,90.19,93.203,,
2000-01-06,92.56,93.2705,,
2000-01-07,96.5,93.433,,
2000-01-10,94.06,93.417,,
2000-01-11,94.06,93.461,98.4716,
2000-01-12,93.5,93.4265,98.2396,
2000-01-13,93.38,93.362,98.0572,
2000-01-14,93.69,93.315,97.845,
2000-01-18,91.31,93.1365,97.5652,
2000-01-19,91.63,93.119,97.2878,
2000-01-20,91.94,93.166,97.03859999999999,
2000-01-21,89.88,93.082,96.7642,
2000-01-24,83.69,92.4885,96.37800000000001,
2000-01-25,85.25,91.8635,96.007,
2000-01-26,83.5,91.2665,95.601,
2000-01-27,80.5,90.6695,95.141,
2000-01-28,84.5,90.2195,94.70900000000002,
2000-01-31,86.06,89.85999999999999,94.31819999999999,
2000-02-01,84.81,89.49100000000001,93.92640000000002,
2000-02-02,85.25,89.313,93.5274,
2000-02-03,83.31,88.96900000000001,93.08760000000001,
2000-02-04,82.13,88.44749999999999,92.6502,
2000-02-07,81.44,87.69449999999999,92.183,
2000-02-08,82.06,87.0945,91.7602,
2000-02-09,80.0,86.3915,91.2582,
2000-02-10,78.0,85.6165,90.7422,
2000-02-11,77.44,84.81949999999999,90.241,
2000-02-14,77.63,84.01650000000001,89.7916,
2000-02-15,79.69,83.43549999999999,89.44040000000001,
2000-02-16,79.81,82.84450000000001,89.1004,
2000-02-17,79.19,82.207,88.8166,
2000-02-18,77.44,81.58500000000001,88.54119999999999,
2000-02-22,78.63,81.33200000000001,88.24879999999999,
2000-02-23,76.13,80.876,87.8838,
2000-02-24,73.75,80.3885,87.49520000000001,
2000-02-25,72.0,79.9635,87.0514,
2000-02-28,72.75,79.376,86.613,
2000-02-29,72.0,78.673,86.1604,
2000-03-01,73.38,78.1015,85.7304,
2000-03-02,73.69,77.52349999999998,85.3646,
2000-03-03,73.5,77.03299999999999,85.01459999999999,
2000-03-06,70.5,76.4515,84.5934,
2000-03-07,68.5,75.80449999999999,84.0522,
2000-03-08,71.0,75.2515,83.51719999999999,
2000-03-09,72.69,74.886,83.06219999999999,
2000-03-10,70.88,74.53,82.631,
2000-03-13,70.0,74.158,82.161,
2000-03-14,72.75,73.914,81.75099999999999,
2000-03-15,76.94,73.7765,81.446,
2000-03-16,79.81,73.7765,81.26599999999999,
2000-03-17,79.56,73.795,81.0534,
2000-03-20,79.31,73.8885,80.7884,
2000-03-21,80.25,73.9695,80.46340000000001,
2000-03-22,82.25,74.2755,80.2272,
2000-03-23,80.0,74.588,79.946,
2000-03-24,72.25,74.6005,79.521,
2000-03-27,69.75,74.4505,79.0484,
2000-03-28,72.0,74.4505,78.6146,
2000-03-29,71.06,74.33449999999999,78.2096,
2000-03-30,70.75,74.1875,77.792,
2000-03-31,70.25,74.025,77.35820000000001,
2000-04-03,72.25,74.1125,77.0056,
2000-04-04,76.5,74.5125,76.8618,
2000-04-05,77.5,74.8375,76.7068,
2000-04-06,74.88,74.947,76.53439999999999,
2000-04-07,74.06,75.106,76.4056,
2000-04-10,76.0,75.40599999999999,76.2356,
2000-04-11,78.25,75.681,76.0794,
2000-04-12,77.0,75.684,75.92320000000001,
2000-04-13,76.25,75.506,75.7432,
2000-04-14,73.31,75.1935,75.54320000000001,
2000-04-17,77.5,75.103,75.45060000000001,
2000-04-18,81.5,75.1655,75.4518,
2000-04-19,82.25,75.1655,75.4556,
2000-04-20,81.63,75.247,75.48819999999999,
2000-04-24,83.88,75.82849999999999,75.6058,
2000-04-25,84.31,76.5565,75.7432,
2000-04-26,82.75,77.09400000000001,75.84559999999999,
2000-04-27,83.0,77.691,75.9118,
2000-04-28,82.5,78.27850000000001,75.9656,
2000-05-01,82.69,78.9005,76.03559999999999,
2000-05-02,84.19,79.4975,76.1706,
2000-05-03,83.25,79.83500000000001,76.263,
2000-05-04,83.06,80.113,76.4016,
2000-05-05,84.0,80.56899999999999,76.6066,
2000-05-08,87.75,81.2535,76.9216,
2000-05-09,87.0,81.8035,77.2066,
2000-05-10,85.5,82.166,77.4766,
2000-05-11,86.06,82.619,77.7302,
2000-05-12,85.5,83.0815,77.9664,
2000-05-15,86.25,83.72850000000001,78.22139999999999,
2000-05-16,87.31,84.21900000000001,78.5576,
2000-05-17,87.06,84.497,78.9288,
2000-05-18,88.5,84.8095,79.2788,
2000-05-19,88.75,85.1655,79.6,
2000-05-22,86.88,85.31550000000001,79.92,
2000-05-23,87.0,85.45,80.26,
2000-05-24,89.94,85.80949999999999,80.6038,
2000-05-25,89.31,86.125,80.8512,
2000-05-26,88.13,86.4065,81.0176,
2000-05-30,88.94,86.71900000000001,81.2052,
2000-05-31,89.5,86.9845,81.40899999999999,
2000-06-01,87.69,87.2065,81.5578,
2000-06-02,84.0,87.2535,81.5928,
2000-06-05,84.0,87.2535,81.6728,
2000-06-06,84.13,87.0725,81.9104,
2000-06-07,83.69,86.90700000000001,82.1892,
2000-06-08,84.88,86.876,82.4468,
2000-06-09,86.13,86.8795,82.7482,
2000-06-12,84.77,86.84299999999999,83.02859999999998,
2000-06-13,88.0,86.9305,83.38359999999999,
2000-06-14,89.75,87.0525,83.73359999999998,
2000-06-15,90.63,87.231,84.01619999999998,
2000-06-16,89.56,87.284,84.2574,
2000-06-19,90.19,87.356,84.5636,
2000-06-20,88.56,87.44,84.8536,
2000-06-21,89.88,87.58399999999999,85.1312,
2000-06-22,88.56,87.515,85.3374,
2000-06-23,89.75,87.53699999999999,85.5924,
2000-06-26,95.5,87.90549999999999,85.9774,
2000-06-27,97.94,88.35549999999999,86.47,
2000-06-28,98.08,88.78450000000001,86.88159999999999,
2000-06-29,98.56,89.328,87.22279999999999,
2000-06-30,101.9,90.22299999999998,87.6158,
2000-07-03,101.1,91.078,88.00519999999999,
2000-07-05,101.0,91.92150000000001,88.34759999999999,
2000-07-06,99.69,92.72149999999999,88.65520000000001,
2000-07-07,99.75,93.465,88.99520000000001,
2000-07-10,100.2,94.1685,89.3392,
2000-07-11,100.2,94.94,89.69319999999999,
2000-07-12,98.06,95.443,90.00059999999999,
2000-07-13,95.25,95.71799999999999,90.2218,
2000-07-14,91.81,95.77700000000002,90.39299999999999,
2000-07-17,94.34,96.01599999999999,90.61859999999999,
2000-07-18,95.0,96.2565,90.83859999999999,
2000-07-19,93.19,96.488,90.9474,
2000-07-20,91.88,96.588,91.045,
2000-07-21,92.25,96.77250000000001,91.18,
2000-07-24,94.45,97.00750000000001,91.3478,
2000-07-25,93.5,96.9075,91.5078,
2000-07-26,90.25,96.523,91.5878,
2000-07-27,91.86,96.21200000000002,91.6788,
2000-07-28,93.66,95.967,91.8108,
2000-07-31,93.06,95.525,91.902,
2000-08-01,94.81,95.2105,92.0232,
2000-08-02,96.5,94.9855,92.2156,
2000-08-03,97.0,94.851,92.4156,
2000-08-04,96.56,94.69149999999999,92.54799999999999,
2000-08-07,96.86,94.5245,92.699,
2000-08-08,96.67,94.348,92.8698,
2000-08-09,94.81,94.1855,92.98720000000002,
2000-08-10,97.41,94.29350000000001,93.14540000000001,
2000-08-11,97.84,94.595,93.3484,
2000-08-14,97.31,94.7435,93.6146,
2000-08-15,96.09,94.798,93.8564,88.4867
2000-08-16,97.94,95.0355,94.1326,88.4509
2000-08-17,97.0,95.29150000000001,94.39880000000001,88.4234
2000-08-18,96.42,95.5,94.62960000000001,88.384
2000-08-21,97.0,95.6275,94.84700000000001,88.3425
2000-08-22,97.75,95.84,95.10660000000001,88.30375
2000-08-23,96.94,96.1745,95.28540000000001,88.26645
2000-08-24,96.25,96.394,95.4154,88.2297
2000-08-25,95.44,96.483,95.5116,88.19189999999999
2000-08-28,94.75,96.56750000000001,95.6154,88.14665
2000-08-29,93.0,96.477,95.6716,88.09264999999999
2000-08-30,91.25,96.2145,95.7254,88.03139999999999
2000-08-31,91.96,95.9625,95.767,87.9607
2000-09-01,92.63,95.76599999999999,95.8484,87.89585
2000-09-05,93.25,95.5855,95.9184,87.84009999999998
2000-09-06,93.25,95.4145,95.8734,87.78035
2000-09-07,93.44,95.346,95.7834,87.72104999999999
2000-09-08,94.46,95.1985,95.711,87.67334999999999
2000-09-11,95.01,95.057,95.64,87.62439999999998
2000-09-12,96.63,95.023,95.5346,87.59154999999998
2000-09-13,97.63,95.1,95.46520000000001,87.5542
2000-09-14,95.94,95.0,95.36400000000002,87.5149
2000-09-15,95.0,94.9,95.2702,87.4774
2000-09-18,92.13,94.6855,95.11779999999999,87.43754999999999
2000-09-19,91.81,94.426,94.95,87.41035
2000-09-20,91.08,94.0925,94.7676,87.3817
2000-09-21,94.25,93.958,94.69139999999999,87.38605
2000-09-22,95.88,93.9395,94.704,87.4094
2000-09-25,95.86,93.9605,94.785,87.42245000000001
2000-09-26,94.5,93.94800000000001,94.7882,87.42305
2000-09-27,95.09,94.0525,94.79,87.43260000000001
2000-09-28,93.38,94.15899999999999,94.79379999999999,87.42855
2000-09-29,93.94,94.258,94.835,87.4249
2000-10-02,93.19,94.286,94.85379999999999,87.41770000000001
2000-10-03,92.5,94.2485,94.81479999999999,87.4058
2000-10-04,90.31,94.1015,94.751,87.39745
2000-10-05,93.06,94.0825,94.8072,87.40775
2000-10-06,92.31,93.975,94.81620000000001,87.41149999999999
2000-10-09,91.31,93.78999999999999,94.7692,87.39025
2000-10-10,94.63,93.69,94.80059999999999,87.37464999999999
2000-10-11,96.0,93.60849999999999,94.82440000000001,87.37745
2000-10-12,97.0,93.6615,94.8344,87.40025
2000-10-13,95.81,93.70200000000001,94.81060000000001,87.4118
2000-10-16,96.94,93.9425,94.81819999999999,87.43025
2000-10-17,97.06,94.20500000000001,94.82220000000001,87.45459999999999
2000-10-18,94.25,94.3635,94.77380000000001,87.4818
2000-10-19,91.75,94.2385,94.71260000000001,87.4896
2000-10-20,91.88,94.0385,94.602,87.48620000000001
2000-10-23,91.56,93.8235,94.4764,87.4615
2000-10-24,91.69,93.68299999999999,94.36400000000002,87.44965
2000-10-25,93.94,93.6255,94.321,87.44904999999999
2000-10-26,93.13,93.613,94.2248,87.4472
2000-10-27,92.75,93.5535,94.1398,87.44405
2000-10-30,94.38,93.613,94.09899999999999,87.4475
2000-10-31,92.13,93.5945,94.0016,87.4516
2000-11-01,91.0,93.62899999999999,93.8666,87.44845
2000-11-02,89.88,93.47,93.7254,87.43815000000001
