,Close,20-day MA,50-day MA,200-day MA
1999-11-01,92.37,,,
1999-11-02,92.56,,,
1999-11-03,92.0,,,
1999-11-04,91.75,,,
1999-11-05,91.56,,,
1999-11-08,89.94,,,
1999-11-09,88.87,,,
1999-11-10,87.12,,,
1999-11-11,89.62,,,
1999-11-12,89.19,,,
1999-11-15,87.0,,,
1999-11-16,87.31,,,
1999-11-17,85.0,,,
1999-11-18,84.94,,,
1999-11-19,86.0,,,
1999-11-22,89.81,,,
1999-11-23,89.62,,,
1999-11-24,91.69,,,
1999-11-26,91.12,,,
1999-11-29,90.19,89.38300000000001,,
1999-11-30,91.05,89.317,,
1999-12-01,93.19,89.3485,,
1999-12-02,94.81,89.489,,
1999-12-03,96.12,89.7075,,
1999-12-06,95.44,89.9015,,
1999-12-07,93.0,90.05449999999999,,
1999-12-08,91.75,90.1985,,
1999-12-09,92.75,90.47999999999999,,
1999-12-10,93.87,90.69250000000001,,
1999-12-13,96.62,91.064,,
1999-12-14,98.69,91.6485,,
1999-12-15,108.44,92.70500000000001,,
1999-12-16,113.69,94.1395,,
1999-12-17,115.25,95.655,,
1999-12-20,112.75,96.99249999999999,,
1999-12-21,115.87,98.2955,,
1999-12-22,117.56,99.6925,,
1999-12-23,117.44,100.97999999999999,,
1999-12-27,119.12,102.38,,
1999-12-28,117.5,103.74549999999999,,
1999-12-29,117.94,105.09,,
1999-12-30,117.62,106.3115,,
1999-12-31,116.75,107.4085,,
2000-01-03,116.56,108.43050000000001,,
2000-01-04,112.62,109.2895,,
2000-01-05,113.81,110.33,,
2000-01-06,110.0,111.24249999999999,,
2000-01-07,111.44,112.17699999999999,,
2000-01-10,112.25,113.096,,
2000-01-11,109.37,113.73349999999998,100.0186,
2000-01-12,105.81,114.08950000000002,100.28739999999999,
2000-01-13,107.81,114.05800000000002,100.5924,
2000-01-14,112.25,113.98600000000002,100.9974,
2000-01-18,115.31,113.989,101.46859999999998,
2000-01-19,107.0,113.70150000000001,101.7774,
2000-01-20,106.0,113.20800000000001,102.09859999999999,
2000-01-21,103.75,112.5175,102.3962,
2000-01-24,101.25,111.70800000000001,102.6788,
2000-01-25,102.81,110.8925,102.9426,
2000-01-26,99.37,109.98599999999999,103.14620000000001,
2000-01-27,98.75,109.02649999999998,103.38119999999999,
2000-01-28,98.25,108.05799999999999,103.6,
2000-01-31,97.87,107.11399999999999,103.8574,
2000-02-01,102.94,106.43299999999999,104.21740000000001,
2000-02-02,100.81,105.8425,104.51360000000001,
2000-02-03,103.62,105.333,104.7898,
2000-02-04,106.56,105.16099999999999,105.1286,
2000-02-07,106.62,104.92,105.4272,
2000-02-08,109.94,104.8045,105.80359999999999,
2000-02-09,104.0,104.53599999999999,106.07979999999999,
2000-02-10,106.0,104.54549999999999,106.3788,
2000-02-11,99.94,104.152,106.5138,
2000-02-14,99.62,103.52050000000001,106.61,
2000-02-15,98.56,102.68299999999999,106.65880000000001,
2000-02-16,97.62,102.214,106.7024,
2000-02-17,99.62,101.895,106.8348,
2000-02-18,95.06,101.4605,106.90099999999998,
2000-02-22,93.81,101.0885,106.92219999999999,
2000-02-23,94.25,100.6605,106.9298,
2000-02-24,94.75,100.4295,106.8924,
2000-02-25,91.31,100.0575,106.74480000000001,
2000-02-28,91.56,99.723,106.40719999999999,
2000-02-29,89.37,99.298,105.9208,
2000-03-01,90.81,98.69149999999999,105.432,
2000-03-02,93.37,98.3195,105.04440000000001,
2000-03-03,96.12,97.9445,104.6494,
2000-03-06,90.62,97.14750000000001,104.11059999999999,
2000-03-07,92.87,96.46000000000001,103.6192,
2000-03-08,95.56,95.741,103.14800000000001,
2000-03-09,100.0,95.541,102.79800000000002,
2000-03-10,101.0,95.291,102.4592,
2000-03-13,98.0,95.19399999999999,102.0668,
2000-03-14,95.12,94.96900000000001,101.6342,
2000-03-15,95.37,94.8095,101.2104,
2000-03-16,95.37,94.697,100.8654,
2000-03-17,99.37,94.6845,100.5766,
2000-03-20,97.37,94.8,100.324,
2000-03-21,102.75,95.247,100.15019999999998,
2000-03-22,103.25,95.697,99.97019999999999,
